OrderID,OrderDate,CustomerID,CustomerName,City,State,Region,Segment,ProductID,ProductName,Category,Quantity,UnitPrice,DiscountPercent,Sales,CostPrice,Profit,ProfitMargin,PaymentMode,ShippingMode,DeliveryDays,Salesperson,Returned
ORD00001,2025-02-07,C275,Customer 49,Bengaluru,Karnataka,South,Corporate,P006,Headphones,Electronics,7,1366,0,9562.0,600,5362.0,56.08,Net Banking,Standard,5,Priya,Yes
ORD00002,2025-02-16,C283,Customer 218,Mumbai,Maharashtra,West,Consumer,P002,Keyboard,Electronics,7,351,5,2334.15,180,1080.29,46.28,Net Banking,Standard,2,Aisha,Yes
ORD00003,2025-03-10,C149,Customer 215,Chennai,Tamil Nadu,South,Consumer,P007,Desk,Furniture,4,1647,20,5270.4,1500,-466.08,-8.84,Net Banking,Standard,5,Arjun,Yes
ORD00004,2025-07-10,C050,Customer 281,Delhi,Delhi,North,Home Office,P002,Keyboard,Electronics,10,934,5,8873.0,180,7096.35,79.98,UPI,Same Day,1,Kiran,Yes
ORD00005,2025-08-27,C300,Customer 233,Kochi,Kerala,South,Corporate,P008,Webcam,Electronics,9,1237,10,10019.7,700,3831.03,38.23,Debit Card,Standard,7,Priya,Yes
ORD00006,2025-06-25,C230,Customer 148,Delhi,Delhi,North,Home Office,P002,Keyboard,Electronics,5,817,15,3472.25,180,2664.16,76.73,UPI,Standard,5,Meena,Yes
ORD00007,2025-12-09,C040,Customer 286,Bengaluru,Karnataka,South,Home Office,P006,Headphones,Electronics,8,1131,0,9048.0,600,4248.0,46.95,Debit Card,Express,6,Arjun,No
ORD00008,2025-12-23,C034,Customer 32,Chennai,Tamil Nadu,South,Home Office,P008,Webcam,Electronics,2,1076,15,1829.2,700,477.62,26.11,Debit Card,Same Day,5,Aisha,No
ORD00009,2025-01-12,C237,Customer 182,Kochi,Kerala,South,Consumer,P005,Laptop Stand,Accessories,7,1004,10,6325.2,220,4855.48,76.76,Net Banking,Standard,4,Ravi,Yes
ORD00010,2025-09-12,C042,Customer 86,Bengaluru,Karnataka,South,Corporate,P005,Laptop Stand,Accessories,4,727,15,2471.8,220,1657.23,67.05,Cash,Same Day,3,Priya,No
